name,price,genre,performance_type,performer_type,profile
Sonu Nigam,"50,00,000",Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/sonu-nigam/
Shankar Mahadevan,0,Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/shankar-mahadevan/
Shaan,"35,00,000",Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/shaan/
Sachin Jigar,"25,00,000",Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/sachin-jigar/
Agnee,"8,00,000",Multi Genre,Full Band,Celebrity Band,https://worldofmusicians.com/listing/agnee/
Euphoria,"15,00,000",Multi Genre,Full Band,Celebrity Band,https://worldofmusicians.com/listing/euphoria/
Parikrama,"7,50,000",Rock,Full Band,Celebrity Band,https://worldofmusicians.com/listing/parikrama/
Indian Ocean,"6,00,000",Bollywood,Full Band,Celebrity Band,https://worldofmusicians.com/listing/indian-ocean/
Thaikuddam Bridge,"7,50,000",Multi Genre,Full Band,Celebrity Band,https://worldofmusicians.com/listing/thaikkudam-bridge/
Anup Jalota,"8,00,00",Live Bhajan,Full Band,Celebrity,https://worldofmusicians.com/listing/anup-jalota/
Mika Singh,0,Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/mika-singh/
Asees Kaur,"35,00,000",Bollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/asees-kaur/
Divya Kumar,,Bollywood/Tollywood,Full Band,Celebrity,https://worldofmusicians.com/listing/divya-kumar/
Stebin Ben,"25,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/stebin-ben/
Juggy Sandhu,"10,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/juggy-sandhu/
Yogendra Jain,"2,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/yogendra-jain-live-bollywood/
Parleen Gill,"3,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/parleen-2/
Manish Joshi,"2,80,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/manish/
Ravi Shukla,"3,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/ravi/
Amarsingh Meena,"1,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/amarsingh-meena/
Ishita Mitra,"1,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/ishita-mitra-bollywood-singer/ 
Manmeet Singh,"1,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/manmeet/
Sudhanshu Raj Khare,"2,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/sudhanshu/
Abdul Shaikh,"1,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/abdul-shaikh/
Kuhu Gracia,"2,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/kuhu-gracia/
Devenderpal Singh,"3,00,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/devenderpal/
Kabir Singh,0,Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/kabir/
Saagar Kendurkar,"2,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/saagar/
Shreya Jain,"2,50,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/shreya/
Siddharth Kohli,"1,80,000",Bollywood,Full Band,Premium ,https://worldofmusicians.com/listing/siddharth-k/
Dipesh ,"45,000",Bollywood,Full Band,Affordable,https://worldofmusicians.com/listing/dipesh-agarwal/
Alankrit ,"35,000",Bollywood,Full Band,Affordable,https://drive.google.com/drive/folders/1ntcsbSlWWPo4_obaxt6Ap3U0VzntfRTD?usp=drive_link
Gaurav ,"25,000",Bollywood,Full Band,Affordable,https://worldofmusicians.com/listing/gaurav/
Vishal ,"25,000",Bollywood,Full Band,Affordable,https://worldofmusicians.com/listing/vishals/
Raj,"40,000",Bollywood,Full Band,Affordable,https://drive.google.com/drive/folders/1TjYnSnXHKqjjXVl7dDdUFbDHMjmom4F8
Indradeep,"40,000",Multi Genre,Full Band,Affordable,https://drive.google.com/drive/folders/1sj73wsp80Z6ifDZN1eMuvxLd0Xx3TWLM?usp=drive_link 
Hiroko Sarah,"55,000",Western,Duo,Affordable,https://worldofmusicians.com/listing/hiroko-sarah/
A Class Apart,"6,00,000",Western,Full Band,Premium ,https://worldofmusicians.com/listing/a-class-apart/
Ronnie,"20,000",Western,Solo/Duo/Full Band,Affordable,https://worldofmusicians.com/listing/ronnie/
Rohan,"15,000",Western,Solo/Duo,Affordable,https://worldofmusicians.com/listing/rohan/
Steffi,"20,000",Western,Duo,Affordable,https://worldofmusicians.com/listing/steffi/
Anurag,"15,000",Western,Solo/Duo,Affordable,https://worldofmusicians.com/listing/anurag/
Gisselle,"90,000",Western,Duo/Full Band,Affordable,https://worldofmusicians.com/listing/giselle/
Jazzfool,"50,000",Western,Duo/Full Band,Affordable,https://worldofmusicians.com/listing/jazzfool/
